-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.035,  0.148
-183.800, 80.197, 0.034,  0.181
-183.800, 80.196, 0.040,  0.214
-183.800, 80.193, 0.103,  0.247
-183.799, 80.186, 0.215,  0.280
-183.799, 80.176, 0.308,  0.313
-183.798, 80.162, 0.438,  0.346
-183.797, 80.143, 0.570,  0.379
-183.795, 80.121, 0.673,  0.412
-183.794, 80.094, 0.821,  0.445
-183.792, 80.060, 1.060,  0.478
-183.789, 80.019, 1.223,  0.511
-183.787, 79.976, 1.279,  0.544
-183.784, 79.932, 1.336,  0.577
-183.781, 79.888, 1.323,  0.610
-183.778, 79.845, 1.313,  0.643
-183.776, 79.802, 1.317,  0.676
-183.773, 79.758, 1.344,  0.709
-183.769, 79.712, 1.400,  0.742
-183.766, 79.664, 1.473,  0.775
-183.762, 79.613, 1.536,  0.808
-183.759, 79.561, 1.595,  0.841
-183.755, 79.507, 1.625,  0.874
-183.751, 79.453, 1.642,  0.907
-183.747, 79.399, 1.631,  0.940
-183.742, 79.345, 1.623,  0.973
-183.738, 79.291, 1.634,  1.006
-183.734, 79.236, 1.668,  1.039
-183.729, 79.180, 1.707,  1.072
-183.724, 79.123, 1.729,  1.105
-183.719, 79.065, 1.732,  1.138
-183.714, 79.008, 1.733,  1.171
-183.709, 78.950, 1.743,  1.204
-183.704, 78.892, 1.762,  1.237
-183.699, 78.833, 1.780,  1.270
-183.693, 78.774, 1.791,  1.303
-183.688, 78.714, 1.797,  1.336
-183.682, 78.655, 1.806,  1.369
-183.676, 78.594, 1.817,  1.402
-183.670, 78.534, 1.827,  1.435
-183.664, 78.473, 1.834,  1.468
-183.658, 78.412, 1.841,  1.501
-183.652, 78.351, 1.848,  1.534
-183.646, 78.290, 1.855,  1.567
-183.640, 78.228, 1.862,  1.600
-183.633, 78.166, 1.869,  1.633
-183.626, 78.104, 1.875,  1.666
-183.620, 78.042, 1.881,  1.699
-183.613, 77.979, 1.886,  1.732
